,player,all_nba,all_star,draft_yr,pk,team,college,yrs,games,minutes_played,pts,trb,ast,fg_percentage,tp_percentage,ft_percentage,minutes_per_game,points_per_game,trb_per_game,assists_per_game,win_share,ws_per_game,bpm,vorp,attend_college
168,John Engles,0,0,1976,66,CLE,University of Pennsylvania,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
169,Edmund Lawrence,0,0,1976,84,CLE,McNeese State University,1,3,19,12,4,1,0.625,0.0,0.5,6.3,4.0,1.3,0.3,0.1,0.201,1.0,0.0,1
170,Harry Davis,0,0,1976,102,CLE,Morris Brown College,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
171,Johnny Britt,0,0,1976,120,CLE,Western Kentucky University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
172,Dale Koehler,0,0,1976,123,CLE,University of Wisconsin,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
173,Tim Sisneros,0,0,1976,138,CLE,Middle Tennessee State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
174,Elisha McSweeney,0,0,1976,171,CLE,"Minnesota State University, Mankato",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
175,Eddie Jordan,0,0,1977,33,CLE,Rutgers University,7,420,8507,3414,788,1595,0.414,0.22399999999999998,0.763,20.3,8.1,1.9,3.8,8.8,0.05,-1.1,1.9,1
176,Steve Grote,0,0,1977,55,CLE,University of Michigan,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
177,Melvin Jones,0,0,1977,77,CLE,West Texas A&M University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
178,Al Smith,0,0,1977,99,CLE,Jackson State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
179,Ron Cox,0,0,1977,121,CLE,Eastern Washington University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
180,Bob Riddle,0,0,1977,141,CLE,Eastern Michigan University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
181,Tom Cutter,0,0,1977,160,CLE,Western Michigan University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
182,Harry Davis,0,0,1978,33,CLE,Florida State University,2,44,424,175,72,16,0.436,0.0,0.6890000000000001,9.6,4.0,1.6,0.4,0.3,0.033,-5.4,-0.4,1
183,Mike Mitchell,0,0,1978,15,CLE,Auburn University,10,759,24537,15016,4246,1010,0.493,0.21600000000000003,0.779,32.3,19.8,5.6,1.3,50.2,0.098,-1.9,0.4,1
184,Ken Higgs,0,0,1978,57,CLE,Louisiana State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
185,Stan Rome,0,0,1978,78,CLE,Clemson University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
186,Ken Koenigs,0,0,1978,99,CLE,University of Kansas,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
187,Ron Bell,0,0,1978,123,CLE,Virginia Polytechnic Institute and State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
188,Roland Martin,0,0,1978,161,CLE,Missouri Southern State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
189,Steve Bayless,0,0,1978,180,CLE,Central State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
190,Gary Winston,0,0,1978,194,CLE,United States Military Academy,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
191,Bruce Flowers,0,0,1979,26,CLE,University of Notre Dame,1,53,699,261,180,47,0.534,0.0,0.774,13.2,4.9,3.4,0.9,1.7,0.11900000000000001,0.1,0.4,1
192,Bill Laimbeer,0,0,1979,65,CLE,University of Notre Dame,14,1068,33956,13790,10400,2184,0.498,0.326,0.8370000000000001,31.8,12.9,9.7,2.0,105.6,0.149,2.0,34.4,1
193,Rick Swing,0,0,1979,70,CLE,The Citadel,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
194,Matt Simpkins,0,0,1979,91,CLE,Georgia Southern University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
195,Joe Manning,0,0,1979,112,CLE,University of North Texas,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
196,Steve Skaggs,0,0,1979,131,CLE,Ohio University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
197,Tim Joyce,0,0,1979,169,CLE,Ohio University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
198,Terry Peavy,0,0,1979,188,CLE,Point Park University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
199,Dennis Johnson,2,5,1976,29,OKC,Pepperdine University,14,1100,35954,15535,4249,5499,0.445,0.172,0.797,32.7,14.1,3.9,5.0,82.6,0.11,0.6,23.6,1
200,Bob Wilkerson,0,0,1976,11,OKC,Indiana University,7,536,14883,5424,2236,1835,0.425,0.16699999999999998,0.7509999999999999,27.8,10.1,4.2,3.4,8.2,0.027000000000000003,-1.8,0.6,1
201,Bayard Forrest,0,0,1976,19,OKC,Grand Canyon University,2,139,2130,569,565,296,0.449,0.0,0.509,15.3,4.1,4.1,2.1,2.7,0.06,-0.8,0.6,1
202,Willie Parr,0,0,1976,63,OKC,LeMoyne-Owen College,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
203,Robert Gray,0,0,1976,80,OKC,Wichita State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
204,Darrell Peterson,0,0,1976,98,OKC,Wake Forest University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
205,Mark Klein,0,0,1976,116,OKC,Malone College,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
206,Norton Barnhill,0,0,1976,134,OKC,Washington State University,1,4,10,4,3,1,0.33299999999999996,0.0,0.0,2.5,1.0,0.8,0.3,0.0,-0.198,-7.2,0.0,1
207,Ron Johnson,0,0,1976,151,OKC,North Carolina Agricultural and Technical State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
208,Ricky Lewis,0,0,1976,167,OKC,Alcorn State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
209,Ricky Berry,0,0,1988,18,SAC,San Jose State University,1,64,1406,706,197,80,0.45,0.406,0.789,22.0,11.0,3.1,1.3,2.4,0.083,-1.7,0.1,1
210,Vinny Del Negro,0,0,1988,29,SAC,North Carolina State University,12,771,19211,7038,1810,2484,0.475,0.359,0.84,24.9,9.1,2.3,3.2,40.6,0.10099999999999999,-1.1,4.5,1
211,Pervis Ellison,0,0,1989,1,SAC,University of Louisville,11,474,11593,4494,3170,691,0.51,0.05,0.6890000000000001,24.5,9.5,6.7,1.5,21.8,0.09,0.5,7.4,1
212,Kenny Carr,0,0,1977,6,LAL,North Carolina State University,10,674,17167,7813,4999,923,0.51,0.079,0.684,25.5,11.6,7.4,1.4,33.6,0.094,-1.1,4.0,1
213,Brad Davis,0,0,1977,15,LAL,University of Maryland,15,961,22302,7866,1738,4709,0.51,0.321,0.828,23.2,8.2,1.8,4.9,53.6,0.115,-1.1,5.1,1
214,Norm Nixon,0,0,1977,22,LAL,Duquesne University,10,768,27250,12065,1991,6386,0.483,0.294,0.772,35.5,15.7,2.6,8.3,47.6,0.084,-1.3,5.1,1
215,James Edwards,0,0,1977,46,LAL,University of Washington,19,1168,28356,14862,6004,1499,0.495,0.048,0.698,24.3,12.7,5.1,1.3,59.7,0.10099999999999999,-2.0,0.3,1
216,Tony Robertson,0,0,1977,88,LAL,West Virginia University,2,75,1003,409,80,107,0.435,0.0,0.6940000000000001,13.4,5.5,1.1,1.4,0.4,0.02,-3.2,-0.3,1
217,John Robinson,0,0,1977,110,LAL,University of Michigan,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
218,Grover Woolard,0,0,1977,131,LAL,Murray State University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
219,Art Allen,0,0,1977,170,LAL,Pepperdine University,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
220,Ron Carter,0,0,1978,26,LAL,Virginia Military Institute,2,59,449,176,64,34,0.429,0.0,0.623,7.6,3.0,1.1,0.6,-0.2,-0.017,-5.9,-0.4,1
